Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,HELO,AELO
E1,15/02/2020,Charlton,Blackburn,0,2,A,0,1,A,9,14,7,5,15,12,4,4,0,3,0,0,3.2,3.25,2.3,1433.873413,1516.521729
E1,18/08/2019,Reading,Cardiff,3,0,H,2,1,H,14,14,6,7,6,13,4,2,1,2,0,0,3.5,3.25,2.15,1434.047852,1600.027832
E1,18/07/2020,QPR,Millwall,4,3,H,1,1,H,22,14,11,7,11,9,7,9,0,1,0,0,3.6,3.6,2.05,1434.906372,1503.246216
E1,02/02/2019,Millwall,Rotherham,0,0,D,0,0,D,9,8,1,3,16,21,7,6,0,4,0,0,1.66,3.8,6,1435.151245,1348.251709
E1,01/01/2020,QPR,Cardiff,6,1,H,3,1,H,14,12,7,2,9,10,4,10,2,1,0,0,2.05,3.4,3.6,1435.568237,1577.45459
E1,08/12/2018,Millwall,Hull,2,2,D,1,1,D,16,7,4,2,7,11,8,3,0,2,0,0,2.25,3.4,3.5,1435.847046,1438.797241
E1,09/02/2019,Blackburn,Bristol City,0,1,A,0,0,D,10,13,2,6,8,7,4,8,1,3,0,0,2.75,3.2,2.87,1436.410034,1510.002197
E1,05/05/2019,Reading,Birmingham,0,0,D,0,1,D,15,19,3,4,8,14,5,5,0,1,0,0,2.7,3.5,2.7,1436.633911,1481.908325
E1,06/04/2019,Millwall,West Brom,2,0,H,1,0,H,16,9,6,1,10,15,6,7,3,2,0,1,2.75,3.4,2.7,1437.309692,1603.986572
E1,19/01/2019,Sheffield Weds,Wigan,1,0,H,0,0,D,21,8,8,1,12,16,9,1,0,2,0,0,2.55,3.3,3,1437.895386,1380.117676
E1,24/08/2019,QPR,Wigan,3,1,H,0,1,A,20,9,5,3,13,16,3,5,2,4,0,0,1.9,3.5,4,1438.363525,1440.572754
E1,30/11/2019,Charlton,Sheffield Weds,1,3,A,1,1,D,8,18,2,8,9,12,1,7,2,2,0,0,3.8,3.6,1.95,1439.180786,1522.250122
